iter	Passed	Remaining
899	8854	983
900	8869	974
901	8876	964
902	8890	955
903	8902	945
904	8923	936
905	8932	926
906	8937	916
907	8949	906
908	8964	897
909	8969	887
910	8973	876
911	8978	866
912	8987	856
913	8992	846
914	9004	836
915	9011	826
916	9015	816
917	9021	805
918	9028	795
919	9033	785
920	9038	775
921	9044	765
922	9049	754
923	9054	744
924	9068	735
925	9075	725
926	9082	715
927	9091	705
928	9106	695
929	9110	685
930	9116	675
931	9127	665
932	9134	655
933	9142	646
934	9149	636
935	9158	626
936	9180	617
937	9188	607
938	9194	597
939	9209	587
940	9216	577
941	9224	567
942	9236	558
943	9239	548
944	9250	538
945	9259	528
946	9265	518
947	9270	508
948	9281	498
949	9288	488
950	9295	478
951	9300	468
952	9320	459
953	9329	449
954	9336	439
955	9341	429
956	9345	419
957	9355	410
958	9366	400
959	9377	390
960	9383	380
961	9392	371
962	9420	361
963	9430	352
964	9434	342
965	9438	332
966	9444	322
967	9450	312
968	9453	302
969	9459	292
970	9465	282
971	9473	272
972	9479	263
973	9484	253
974	9493	243
975	9507	233
976	9513	223
977	9518	214
978	9522	204
979	9528	194
980	9532	184
981	9538	174
982	9543	165
983	9546	155
984	9551	145
985	9555	135
986	9559	125
987	9564	116
988	9569	106
989	9573	96
990	9578	86
991	9582	77
992	9586	67
993	9592	57
994	9597	48
995	9602	38
996	9607	28
997	9610	19
998	9615	9
999	9620	0
8	8811	8
999	8816	0
997	9202	18
998	9208	9
999	9223	0
46	9
999	9559	0
	0
1	28
997	9358	18
998	9370	9
999	9376	0
28
997	9574	19
998	9579	9
999	9586	0

996	10203	30
997	10212	20
998	10219	10
999	10224	0
3
995	10564	42
996	10576	31
997	10586	21
998	10593	10
999	10601	0
