,Line,Site Less,Site More,Prediction,Lean,DFS Pickem Sites Factor,Sportsbooks Factor,RotoWire Projection Factor,Hit Rate Factor,RotoWire Projection,Weighted Hit Rate,At Home,Average Line Variance,Implied Less ,Implied More ,Hit Rate Last 10,Hit Rate Last 10 Outcomes,Hit Rate Last 20 Outcomes,Hit Rate Last 30 Outcomes,Hit Rate Last 5 Outcomes,Hit Rate Previous Season,Hit Rate Season,Hit Rate Vs Opponent,RotoWire Projection Difference,RotoWire Projection Difference ,PrizePicks,PrizePicks Line,Underdog,Underdog Line,DraftKings Pick6,DraftKings Pick6 Line,BetMGM Line,BetMGM Less,BetMGM More,BetMGM Less ,BetMGM More ,BetRivers Line,BetRivers Less,BetRivers More,BetRivers Less ,BetRivers More ,DraftKings Line,DraftKings Less,DraftKings More,DraftKings Less ,DraftKings More ,FanDuel Line,FanDuel Less,FanDuel More,FanDuel Less ,FanDuel More ,PointsBet Line,PointsBet Less,PointsBet More,PointsBet Less ,PointsBet More 
62,29.5,-134,-125,-5.7,0,0,-1.5,-2.1,-32.5,29.44,37,1,0,51,49,40,11010001,1.1e+17,1.1000000000000001e+27,110,12,20,25,-0.06,-0.21,29.5,29.5,29.5,29.5,-1,-1,29.5,-120,-110,51,49,-1,-1,-1,-1,-1,29.5,-120,-110,51,49,-1,-1,-1,-1,-1,29.5,-120,-110,51,49
63,1.5,-143,-117,-5.7,0,-1,-6.9,33.3,-55.0,2.17,28,0,0,52,48,30,101010,1010000000000000.0,1.0099999999999999e+25,1,35,45,50,0.67,44.35,-1,-1,-1,-1,-1,-1,1.5,-130,100,53,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.5,-130,100,53,47
64,21.5,-132,-127,-5.6,0,0,1,-47.3,7.5,20.08,53,1,0,50,50,60,101101101,1.01e+18,1.01e+28,1011,-1,45,100,-1.42,-6.6,21.5,21.5,21.5,21.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.5,-110,-120,49,51,21.5,-108,-118,49,51,21.5,-115,-115,50,50
65,18.5,-134,-125,5.4,1,0,22.2,-15.6,0.0,18.03,50,1,0.4,51,49,50,1101100010,1.1e+19,1.1e+29,11011,-1,24,0,-0.47,-2.53,18.5,18.5,18.5,18.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.5,-105,-125,48,52,19.5,-113,-113,50,50,19.5,-125,-105,52,48
66,32.5,-136,-124,-5.0,0,0,-17.1,58.7,-52.5,34.26,29,1,0.3,51,49,30,11000001,1.1e+17,1.1000000000000001e+27,110,4,23,0,1.76,5.42,32.5,32.5,32.5,32.5,-1,-1,31.5,-115,-115,50,50,-1,-1,-1,-1,-1,31.5,-115,-115,50,50,32.5,-118,-108,51,49,32.5,-115,-115,50,50
67,5.5,-121,-139,-5.0,0,0,4.1,17.4,-60.0,5.85,26,1,0,48,52,20,101000000,1.01e+18,1.01e+28,1010,20,27,33,0.35,6.32,5.5,5.5,5.5,5.5,-1,-1,5.5,100,-130,47,53,5.5,-113,-118,49,51,5.5,-105,-125,48,52,5.5,-106,-120,49,51,5.5,-105,-125,48,52
68,0.5,-115,-148,-4.9,0,0,7.4,2.5,-52.5,0.54,29,0,0,47,53,30,1000010100,1e+19,1.0000000000000001e+29,10000,54,42,64,0.04,7.58,0.5,0.5,-1,-1,-1,-1,0.5,-105,-130,48,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,5.5,-137,-122,4.9,1,0,-3.6,38.4,2.5,6.27,51,0,0,51,49,60,10111011,1.01e+17,1.0100000000000001e+27,101,45,42,50,0.77,13.96,-1,-1,5.5,5.5,-1,-1,5.5,-120,-110,51,49,-1,-1,-1,-1,-1,5.5,-120,-110,51,49,5.5,-130,102,53,47,5.5,-120,-110,51,49
70,5.5,-112,-152,4.8,1,0,7,-14.4,30.0,5.21,62,1,0,47,53,60,101100111,1.01e+18,1.01e+28,1011,52,58,28,-0.29,-5.25,5.5,5.5,5.5,5.5,-1,-1,5.5,100,-135,47,53,-1,-1,-1,-1,-1,5.5,100,-130,47,53,5.5,100,-128,47,53,5.5,100,-130,47,53
71,5.5,-136,-124,4.7,1,0,-0.1,39.3,-7.5,6.29,47,0,0,51,49,50,10101011,1.01e+17,1.0100000000000001e+27,101,50,37,70,0.79,14.28,5.5,5.5,5.5,5.5,-1,-1,5.5,-120,-110,51,49,5.5,-107,-125,48,52,5.5,-120,-110,51,49,5.5,-113,-113,50,50,5.5,-115,-115,50,50
72,29.5,-137,-122,-4.2,0,0,-2.2,-20.2,-2.5,28.9,49,0,0,51,49,50,100110101,1e+18,1e+28,1001,0,48,25,-0.6,-2.05,29.5,29.5,29.5,29.5,-1,-1,29.5,-120,-110,51,49,-1,-1,-1,-1,-1,29.5,-120,-110,51,49,29.5,-122,-104,52,48,29.5,-125,-105,52,48
73,0.5,-121,-139,4.2,1,0,6.1,16.1,-2.5,0.74,49,1,0,48,52,50,110100011,1.1e+18,1.1e+21,1101,-1,48,0,0.24,48.37,0.5,0.5,-1,-1,-1,-1,0.5,-105,-125,48,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
76,2.5,-141,-120,-4.0,0,0,-4.6,1.8,-17.5,2.54,43,1,0,52,48,50,1000001111,1e+19,1.0000000000000001e+29,10000,25,29,50,0.04,1.41,2.5,2.5,-1,-1,-1,-1,2.5,-125,-105,52,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
