PLAYER_NAME,PLAYER_ID,OPP,PTS,REB,AST,STL,TOV,BLK,FG3M,DD2,REB_Boost,AST_Boost,STL_Boost,TOV_Boost,BLK_Boost,FG3M_Boost,DD2_Boost
Dennis Schroder,203471,HOU,,,,,,,,,,,,,,,
Garrett Temple,202066,HOU,,,,,,,,,,,,,,,
Gary Trent Jr.,1629018,HOU,12.5,3.5,,,,,2.5,,1,,,,,,
Gradey Dick,1641711,HOU,,,,,,,,,,,,,,,
Immanuel Quickley,1630193,HOU,18.5,,,1.5,,0.5,,,,,1,,1,,
Jakob Poeltl,1627751,HOU,11.5,,2.5,1.5,1.5,,,,,,1,,,,
Jalen McDaniels,1629667,HOU,,,,,,,,,,,,,,,
Javon Freeman-Liberty,1631241,HOU,,,,,,,,,,,,,,,
Jontay Porter,1629007,HOU,,,,,,,,,,,,,,,
Jordan Nwora,1629670,HOU,,,,,,,,,,,,,,,
Kira Lewis Jr.,1630184,HOU,,,,,,,,,,,,,,,
Markquis Nowell,1641806,HOU,,,,,,,,,,,,,,,
Otto Porter Jr.,203490,HOU,,,,,,,,,,,,,,,
RJ Barrett,1629628,HOU,21.5,,5.5,,,,,,,1,,,,,
Scottie Barnes,1630567,HOU,20.5,9.5,,1.5,,,2.5,,1,,1,,,1,
Thaddeus Young,201152,HOU,,,,,,,,,,,,,,,
Anthony Gill,1630264,BOS,,,,,,,,,,,,,,,
Bilal Coulibaly,1641731,BOS,,,,,,,,,,,,,,,
Corey Kispert,1630557,BOS,,,,,,,,,,,,,,,
Daniel Gafford,1629655,BOS,,,,,,,,,,,,,,,
Delon Wright,1626153,BOS,,,,,,,,,,,,,,,
Deni Avdija,1630166,BOS,12.5,7.5,3.5,,,,,,,,,,,,
Eugene Omoruyi,1630647,BOS,,,,,,,,,,,,,,,
Isaiah Livers,1630587,BOS,,,,,,,,,,,,,,,
Jared Butler,1630215,BOS,,,,,,,,,,,,,,,
Johnny Davis,1631098,BOS,,,,,,,,,,,,,,,
Jordan Poole,1629673,BOS,,,,,,,,,,,,,,,
Jules Bernard,1631262,BOS,,,,,,,,,,,,,,,
Kyle Kuzma,1628398,BOS,21.5,7.5,3.5,1.5,,,,,,,1,,,,
Landry Shamet,1629013,BOS,,,,,,,,,,,,,,,
Marvin Bagley III,1628963,BOS,,,,,,,,,,,,,,,
Patrick Baldwin Jr.,1631116,BOS,,,,,,,,,,,,,,,
Trey Jemison,1641998,BOS,,,,,,,,,,,,,,,
Tyus Jones,1626145,BOS,11.5,,,,,,,,,,,,,,
