,Player,Position,Date,Market Name,Line,Site Less,Site More,Player_Slug,PLAYER_NAME,PLAYER_ID
164,Alex Caruso,G,2/25/2024,Points,8.5,-130,-129,alex-caruso,Alex Caruso,1627936
165,Alex Caruso,G,2/25/2024,PTS+REB+AST,16.5,-148,-115,alex-caruso,Alex Caruso,1627936
166,Alex Caruso,G,2/25/2024,Steals,1.5,-148,-115,alex-caruso,Alex Caruso,1627936
167,Alex Caruso,G,2/27/2024,Points,9.5,-113,-150,alex-caruso,Alex Caruso,1627936
168,Alex Caruso,G,2/27/2024,PTS+REB+AST,17.5,-134,-127,alex-caruso,Alex Caruso,1627936
169,Alex Caruso,G,2/27/2024,3PT Made,1.5,-114,-148,alex-caruso,Alex Caruso,1627936
170,Alex Caruso,G,3/4/2024,PTS+REB+AST,14.5,-139,-121,alex-caruso,Alex Caruso,1627936
171,Alex Caruso,G,3/4/2024,Points,7.5,-117,-145,alex-caruso,Alex Caruso,1627936
172,Alex Caruso,G,3/4/2024,Assists,2.5,-121,-139,alex-caruso,Alex Caruso,1627936
173,Alex Caruso,G,3/4/2024,Rebounds,3.5,-130,-130,alex-caruso,Alex Caruso,1627936
174,Alex Caruso,G,3/6/2024,PTS+REB+AST,15.5,-130,-130,alex-caruso,Alex Caruso,1627936
175,Alex Caruso,G,3/6/2024,Points,8.5,-145,-117,alex-caruso,Alex Caruso,1627936
176,Alex Caruso,G,3/6/2024,Rebounds,3.5,-113,-150,alex-caruso,Alex Caruso,1627936
177,Alex Caruso,G,3/6/2024,Steals,1.5,-136,-124,alex-caruso,Alex Caruso,1627936
178,Alex Caruso,G,3/7/2024,PTS+REB+AST,15.5,-118,-143,alex-caruso,Alex Caruso,1627936
179,Alex Caruso,G,3/7/2024,Points,8.5,-134,-125,alex-caruso,Alex Caruso,1627936
180,Alex Caruso,G,3/7/2024,Rebounds,3.5,-115,-145,alex-caruso,Alex Caruso,1627936
181,Alex Caruso,G,3/7/2024,3PT Made,1.5,-121,-139,alex-caruso,Alex Caruso,1627936
182,Alex Caruso,G,3/9/2024,PTS+REB+AST,14.5,-130,-130,alex-caruso,Alex Caruso,1627936
183,Alex Caruso,G,3/9/2024,Points,7.5,-118,-143,alex-caruso,Alex Caruso,1627936
184,Alex Caruso,G,3/9/2024,Rebounds,3.5,-117,-143,alex-caruso,Alex Caruso,1627936
185,Alex Caruso,G,3/11/2024,Rebounds,3.5,-137,-122,alex-caruso,Alex Caruso,1627936
186,Alex Caruso,G,3/11/2024,PTS+REB+AST,17.5,-129,-130,alex-caruso,Alex Caruso,1627936
187,Alex Caruso,G,3/11/2024,Points,10.5,-150,-114,alex-caruso,Alex Caruso,1627936
188,Alex Caruso,G,3/11/2024,3PT Made,1.5,-132,-127,alex-caruso,Alex Caruso,1627936
189,Alex Caruso,G,3/11/2024,Assists,3.5,-115,-145,alex-caruso,Alex Caruso,1627936
190,Alex Caruso,G,3/13/2024,Points,8.5,-130,-129,alex-caruso,Alex Caruso,1627936
191,Alex Caruso,G,3/13/2024,PTS+REB+AST,16.5,-141,-120,alex-caruso,Alex Caruso,1627936
192,Alex Caruso,G,3/13/2024,Assists,3.5,-145,-117,alex-caruso,Alex Caruso,1627936
193,Alex Caruso,G,3/16/2024,PTS+REB+AST,24.5,-130,-130,alex-caruso,Alex Caruso,1627936
194,Alex Caruso,G,3/16/2024,Points,14.5,-132,-129,alex-caruso,Alex Caruso,1627936
195,Alex Caruso,G,3/16/2024,Turnovers,1.5,-113,-150,alex-caruso,Alex Caruso,1627936
196,Kentavious Caldwell-Pope,G,2/25/2024,Points,8.5,-114,-148,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
197,Kentavious Caldwell-Pope,G,2/25/2024,PTS+REB+AST,13.5,-143,-117,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
198,Kentavious Caldwell-Pope,G,2/25/2024,Assists,1.5,-150,-113,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
199,Kentavious Caldwell-Pope,G,2/25/2024,Rebounds,2.5,-139,-121,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
200,Kentavious Caldwell-Pope,G,3/2/2024,PTS+REB+AST,15.5,-143,-118,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
201,Kentavious Caldwell-Pope,G,3/2/2024,Points,10.5,-141,-118,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
202,Kentavious Caldwell-Pope,G,3/2/2024,3PT Made,1.5,-127,-132,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
203,Kentavious Caldwell-Pope,G,3/2/2024,Rebounds,2.5,-136,-124,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
204,Kentavious Caldwell-Pope,G,3/5/2024,Points,10.5,-117,-145,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
205,Kentavious Caldwell-Pope,G,3/5/2024,PTS+REB+AST,15.5,-129,-132,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
206,Kentavious Caldwell-Pope,G,3/7/2024,PTS+REB+AST,14.5,-125,-134,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
207,Kentavious Caldwell-Pope,G,3/7/2024,Turnovers,0.5,-118,-143,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
208,Kentavious Caldwell-Pope,G,3/7/2024,Points,10.5,-148,-114,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
209,Kentavious Caldwell-Pope,G,3/7/2024,Rebounds,2.5,-150,-113,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
210,Kentavious Caldwell-Pope,G,3/9/2024,PTS+REB+AST,14.5,-118,-143,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
211,Kentavious Caldwell-Pope,G,3/9/2024,Points,10.5,-136,-124,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
212,Kentavious Caldwell-Pope,G,3/9/2024,3PT Made,1.5,-115,-145,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
213,Kentavious Caldwell-Pope,G,3/13/2024,PTS+REB+AST,13.5,-129,-130,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
214,Kentavious Caldwell-Pope,G,3/13/2024,Points,9.5,-152,-112,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
215,Kentavious Caldwell-Pope,G,3/13/2024,3PT Made,1.5,-152,-112,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
216,Kentavious Caldwell-Pope,G,3/15/2024,PTS+REB+AST,12.5,-122,-137,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
217,Kentavious Caldwell-Pope,G,3/15/2024,Points,8.5,-136,-124,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
218,Kentavious Caldwell-Pope,G,3/17/2024,PTS+REB+AST,12.5,-130,-130,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
219,Kentavious Caldwell-Pope,G,3/17/2024,Points,8.5,-148,-115,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
220,Kentavious Caldwell-Pope,G,3/19/2024,PTS+REB+AST,12.5,-122,-137,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
221,Kentavious Caldwell-Pope,G,3/19/2024,Points,8.5,-143,-118,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
222,Kentavious Caldwell-Pope,G,4/2/2024,PTS+REB+AST,15.5,-120,-141,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
223,Kentavious Caldwell-Pope,G,4/2/2024,Rebounds,2.5,-134,-125,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
224,Kentavious Caldwell-Pope,G,4/2/2024,Points,10.5,-122,-137,kentavious-caldwell-pope,Kentavious Caldwell-Pope,203484
225,Clint Capela,C,2/25/2024,PTS+REB+AST,18.5,-122,-137,clint-capela,Clint Capela,203991
226,Clint Capela,C,2/25/2024,Points,9.5,-117,-145,clint-capela,Clint Capela,203991
227,Clint Capela,C,2/25/2024,Assists,0.5,-114,-148,clint-capela,Clint Capela,203991
228,Clint Capela,C,2/25/2024,Steals,0.5,-139,-121,clint-capela,Clint Capela,203991
